date,nationality,score,text
2024-01-10,United Kingdom,9.8,Absolutely stunning property. The lobby alone takes your breath away. Staff were impeccable — every request met with extraordinary professionalism. The spa treatment was transcendent.
2024-01-12,United States,9.5,The rooftop pool and ocean view exceeded every expectation. Concierge arranged a private yacht tour — unforgettable experience.
2024-01-15,France,8.2,"Magnifique! The suite was immaculate. Restaurant service was slightly slow on Friday, though the cuisine was exceptional. Would absolutely return."
2024-01-18,Germany,4.5,Room was far smaller than photos suggested. Noise from the bar kept us awake until 2am. Price point entirely unjustifiable.
2024-01-20,Japan,10.0,Perfect stay from arrival to departure. The pillow menu was a thoughtful touch. Housekeeping was outstanding and discreet.
2024-01-22,Australia,9.7,Truly world-class hospitality. Butler service was remarkable — anticipating our needs before we voiced them.
2024-01-25,Canada,2.0,Terrible check-in. Waited over an hour despite a confirmed reservation. Room smelled musty. Management completely dismissive of our complaints.
2024-01-28,Spain,5.5,Good location but the property is showing its age. Bar team seemed undertrained. Gym equipment badly outdated.
2024-02-01,Italy,9.3,The afternoon tea service is an absolute must-do. Our suite had a private terrace with jaw-dropping mountain views.
2024-02-03,Brazil,7.0,Wonderful ambiance and beautiful architecture. Pool is stunning. Breakfast decent but nothing extraordinary. Parking was a hassle.
2024-02-05,Netherlands,9.9,Outstanding in every regard. The sommelier's wine pairings during our anniversary dinner were inspired. Personalised turndown service was a lovely touch.
2024-02-08,Sweden,7.5,Clean modern rooms. Staff professional if a bit formal. Sauna and hydrotherapy pool were excellent. Solid reliable stay.
2024-02-11,China,9.6,"The penthouse suite view was absolutely spectacular. Every detail considered — locally-sourced bath products, handwritten welcome note. Exceptional service."
2024-02-14,Russia,3.0,Overpriced and underwhelming. Restaurant closed two nights of our stay with no prior notice. Front desk unhelpful and unapologetic.
2024-02-17,Mexico,8.0,Lovely stay overall. Beachfront location is superb. Kids club kept our children wonderfully entertained. Minor maintenance issues quickly resolved.
2024-02-20,India,9.4,Flawless experience. The cultural sensitivity of the team was impressive — dietary requirements accommodated without question.
2024-02-22,South Korea,8.8,Well-equipped gym for a luxury property. Staff courteous and multilingual. Rooftop bar has wonderful sunset views.
2024-02-25,Switzerland,4.0,Mediocre experience for the price. WiFi was intermittent throughout despite multiple reports to reception. Room décor felt dated.
2024-03-01,UAE,10.0,Extraordinary service and opulent surroundings. Private airport transfer set the tone perfectly. Every staff member knew our names by day two.
2024-03-04,Singapore,7.8,Good hotel in prime location. Rooms modern and comfortable. Checkout process was unnecessarily slow.
2024-03-10,United Kingdom,9.1,Second visit and standards have only improved. The new garden terrace is a beautiful addition. Exceptional value at this level.
2024-03-15,Germany,6.5,Average stay for the price. Breakfast was good but room service took 45 minutes. Would not rush back.
2024-03-20,France,9.0,"Le service était irréprochable. Pool heated perfectly, food excellent. Will definitely return in the summer."
2024-04-02,USA,8.5,"Excellent business hotel. Meeting rooms well-equipped, concierge incredibly helpful with last-minute arrangements."
2024-04-10,Japan,9.8,Meticulous attention to detail throughout. The omakase dinner arranged by the concierge was extraordinary. Five stars unequivocally.
2024-04-18,Australia,5.0,Disappointed. Advertised spa closed for renovation with zero notification. Promised partial refund still has not arrived three weeks later.
2024-05-05,Brazil,8.3,Great stay overall. The cocktail bar on the 14th floor has sensational views. Rooms are beautifully appointed.
2024-05-20,Canada,9.2,Came for the food and left obsessed with everything. The pastry chef deserves their own Michelin star.
2024-06-01,Italy,7.2,Beautiful property but slightly overcrowded in summer. Private pool access is absolutely worth the upgrade.
2024-06-15,Spain,9.5,"The honeymoon package was flawlessly executed. Champagne, rose petals, private dinner on the terrace — genuinely magical."
